dtxsid,aeid,hitc_clean,active
DTXSID0020319,688,0.0,0.0
DTXSID0021389,688,3.353641542380204e-09,0.0
DTXSID0027270,688,0.0,0.0
DTXSID0034566,688,6.4414088602897295e-06,0.0
DTXSID0047290,688,,
DTXSID0047292,688,3.1058482584768096e-06,0.0
DTXSID0047296,688,9.188324970738635e-09,0.0
DTXSID0047377,688,0.0,0.0
DTXSID0048505,688,,
DTXSID1024174,688,1.448340358715987e-07,0.0
DTXSID1027635,688,,
DTXSID1040112,688,,
DTXSID1044564,688,6.734835569073658e-15,0.0
DTXSID1047281,688,,
DTXSID1047285,688,0.0,0.0
DTXSID1047289,688,4.857270858594144e-17,0.0
DTXSID1047526,688,0.0,0.0
DTXSID1048170,688,1.0582670105561293e-08,0.0
DTXSID2021105,688,,
DTXSID2021600,688,,
DTXSID2021781,688,0.0005368525049201043,0.0
DTXSID2025133,688,0.0,0.0
DTXSID2026943,688,1.001085346633269e-06,0.0
DTXSID2029329,688,0.0,0.0
DTXSID2032398,688,0.00033480561514003004,0.0
DTXSID2032556,688,1.4718052390285693e-08,0.0
DTXSID2040363,688,3.1638909680654015e-16,0.0
DTXSID2047270,688,,
DTXSID2047272,688,0.0,0.0
DTXSID2047276,688,0.0,0.0
DTXSID2047301,688,,
DTXSID2047303,688,,
DTXSID2047307,688,1.2645956597968547e-12,0.0
DTXSID2048167,688,7.987307323556345e-09,0.0
DTXSID3020209,688,0.0,0.0
DTXSID3020679,688,5.12261629927168e-15,0.0
DTXSID3021643,688,,
DTXSID3021645,688,0.0,0.0
DTXSID3027403,688,8.015128913212402e-16,0.0
DTXSID3037094,688,8.063531487226072e-06,0.0
DTXSID3038939,688,0.0,0.0
DTXSID3042059,688,1.48865575048665e-06,0.0
DTXSID3042219,688,0.0,0.0
DTXSID3047138,688,,
DTXSID3047261,688,0.0,0.0
DTXSID3047265,688,,
DTXSID3047429,688,7.847918094090847e-14,0.0
DTXSID3048520,688,9.120273566289204e-14,0.0
DTXSID4021268,688,1.2694439040629678e-08,0.0
DTXSID4023541,688,,
DTXSID4027367,688,,
DTXSID4027991,688,0.0,0.0
DTXSID4029145,688,,
DTXSID4032532,688,,
DTXSID4040002,688,0.0,0.0
DTXSID4047381,688,,
DTXSID5020449,688,0.0,0.0
DTXSID5020653,688,,
DTXSID5024845,688,,
DTXSID5025152,688,0.0,0.0
DTXSID5027061,688,0.0,0.0
DTXSID5032600,688,,
DTXSID5033836,688,8.865596723335702e-17,0.0
DTXSID5044572,688,0.0,0.0
DTXSID5047295,688,8.636198300524032e-06,0.0
DTXSID5047299,688,3.186319353575821e-05,0.0
DTXSID5048186,688,0.0,0.0
DTXSID6020561,688,2.139286081285269e-07,0.0
DTXSID6021086,688,,
DTXSID6021456,688,,
DTXSID6021828,688,,
DTXSID6022345,688,0.0002768758036759079,0.0
DTXSID6024913,688,0.0,0.0
DTXSID6024917,688,,
DTXSID6025145,688,,
DTXSID6027050,688,0.0,0.0
DTXSID6027218,688,,
DTXSID6032514,688,0.0,0.0
DTXSID6032562,688,,
DTXSID6034186,688,0.0,0.0
DTXSID6034972,688,0.0,0.0
DTXSID6047280,688,0.0,0.0
DTXSID6047282,688,5.814041577418158e-12,0.0
DTXSID6047284,688,3.4733252004205654e-11,0.0
DTXSID6047286,688,5.662580511385444e-06,0.0
DTXSID6047367,688,,
DTXSID7020267,688,0.0,0.0
DTXSID7021029,688,0.0,0.0
DTXSID7024112,688,0.0001911638563964734,0.0
DTXSID7024827,688,0.0,0.0
DTXSID7024873,688,1.9780051616670028e-14,0.0
DTXSID7025132,688,,
DTXSID7027205,688,0.0,0.0
DTXSID7037185,688,0.0,0.0
DTXSID7047279,688,0.0,0.0
DTXSID7047304,688,0.0,0.0
DTXSID7047306,688,,
DTXSID7047308,688,8.53712367989382e-18,0.0
DTXSID8024523,688,,
DTXSID8025096,688,3.1464975858319235e-11,0.0
DTXSID8026640,688,2.1552855178265742e-07,0.0
DTXSID8040721,688,,
DTXSID8041248,688,0.0,0.0
DTXSID8047264,688,,
DTXSID8047266,688,0.0,0.0
DTXSID8047349,688,0.0,0.0
DTXSID8048521,688,0.0,0.0
DTXSID9020582,688,,
DTXSID9022364,688,,
DTXSID9022528,688,0.0,0.0
DTXSID9023380,688,0.0,0.0
DTXSID9024065,688,0.0,0.0
DTXSID9025453,688,0.0,0.0
DTXSID9027360,688,1.1930461200643464e-06,0.0
DTXSID9032537,688,0.9923360266498823,1.0
DTXSID9036515,688,3.597596734606036e-06,0.0
DTXSID9036690,688,1.9170125181308087e-14,0.0
DTXSID9048510,688,6.120892111453566e-13,0.0
DTXSID9048512,688,2.8348427494198035e-12,0.0
