dtxsid,aeid,hitc_clean,active
DTXSID0020022,2460,2.791055507061347e-10,0
DTXSID0020105,2460,0.0014351543235813164,0
DTXSID0020107,2460,1.1225544926429877e-06,0
DTXSID0020232,2460,0.939370207330806,1
DTXSID0020284,2460,3.75101750625601e-09,0
DTXSID0020319,2460,0.8124257129006922,0
DTXSID0020440,2460,1.7313299652866504e-05,0
DTXSID0021123,2460,0.0,0
DTXSID0021125,2460,0.4618817450598223,0
DTXSID0021256,2460,3.734860883084478e-09,0
DTXSID0021333,2460,0.01276338595146728,0
DTXSID0021385,2460,4.258549487931621e-06,0
DTXSID0021389,2460,0.05044386646217951,0
DTXSID0021414,2460,0.00020912643551450135,0
DTXSID0021464,2460,0.9994752714808318,1
DTXSID0022018,2460,0.4582798946068376,0
DTXSID0022436,2460,0.0,0
DTXSID0022777,2460,0.0196798304404837,0
DTXSID0023581,2460,3.465768787661961e-05,0
DTXSID0023745,2460,4.375312411133315e-05,0
DTXSID0023878,2460,2.2501012014832995e-13,0
DTXSID0023901,2460,0.0,0
DTXSID0024002,2460,0.05329101994902934,0
DTXSID0024052,2460,7.238443872645266e-10,0
DTXSID0028038,2460,0.704547399584817,0
DTXSID0032520,2460,3.008492240816772e-15,0
DTXSID0032572,2460,0.9993387449763246,1
DTXSID0032578,2460,7.050890115775868e-05,0
DTXSID0032605,2460,0.0,0
DTXSID0032655,2460,4.613753350561357e-06,0
DTXSID0034300,2460,0.7778167278446828,0
DTXSID0034566,2460,0.992579206808993,1
DTXSID0034722,2460,0.0002099787460907842,0
DTXSID0037495,2460,5.943939556202696e-08,0
DTXSID0039223,2460,0.0,0
DTXSID0040127,2460,0.0,0
DTXSID0041270,2460,6.813778926196453e-07,0
DTXSID0044494,2460,1.7394127457047624e-07,0
DTXSID0044608,2460,0.0002567660324721669,0
DTXSID0044818,2460,0.09566645336784696,0
DTXSID0044997,2460,0.007085992029800508,0
DTXSID0047113,2460,0.04591352794794006,0
DTXSID0047240,2460,7.170775442821293e-16,0
DTXSID0047246,2460,0.014728791170545187,0
DTXSID0047290,2460,2.7026005226217386e-05,0
DTXSID0047292,2460,0.00011902208116792554,0
DTXSID0047371,2460,0.0026209163132481384,0
DTXSID0047375,2460,8.721943508403622e-05,0
